escenario,modelo,n_obs,n_features,CV5_RMSE,CV5_MAE,CV5_R2
escenario4,GradientBoosting,772,15,8.182126822800196,5.894862253408833,0.7606936809861067
escenario4,XGBoost,772,15,8.258556085732371,5.7228068041760265,0.7558563321211839
escenario4,HistGradientBoosting,772,15,8.29459148146611,5.839093637636813,0.7537891096910252
escenario4,RandomForest,772,15,8.572169962592334,6.362993974457526,0.7380529701279976
escenario4,LinearRegression,772,15,8.99571368636592,6.827181905841956,0.711687980865235
escenario4,RidgeCV,772,15,8.997476655255934,6.8165745213898505,0.7115895540722396
escenario4,ElasticNetCV,772,15,9.0052482877655,6.816875890178754,0.7110829063575766
escenario5,GradientBoosting,772,36,8.35331570869933,6.091043092008031,0.7503888217628469
escenario5,XGBoost,772,36,8.39417891967882,5.797661857888068,0.7479793578873245
escenario5,HistGradientBoosting,772,36,8.404874491967005,5.835071460967972,0.7471566890113388
escenario5,RandomForest,772,36,8.54652231914124,6.255121401913551,0.7394813688059694
escenario5,RidgeCV,772,36,8.95906031153902,6.693760738926398,0.7139734741182737
escenario5,LinearRegression,772,36,8.964639139610032,6.698351534553453,0.713601094463771
escenario5,ElasticNetCV,772,36,8.978972539801651,6.713951292447229,0.712779443012834
